term_str,PC0,PC1,PC2,PC3,PC4
point,0.03459304145121265,-0.04455290964311948,0.01711874521627535,-0.0025466497592848392,0.00285385840400328
important,-0.001449946732970551,-0.031164176496615327,0.03336325085247197,-0.00041293324460688025,-0.03341859721546773
use,-0.0016638507664940862,-0.04165501496649321,0.02160550775693414,-0.005473582966523953,-0.027556212325163264
find,0.04566451140635598,-0.05657089625038038,0.009944861837338385,-0.024587735960014116,-0.010241951785276785
class,-0.05844099473965429,-0.017841184453997426,0.011312770437732668,0.03705165842039189,0.004409135567355395
conversation,-0.039478834067373694,-0.01307835380312649,0.015420061590022077,0.016510156341738757,-0.01673966296555193
different,0.019512277511496572,-0.04110278559758287,0.025907430570062027,-0.0225009110538997,-0.014408692179057814
got,0.008439782586502456,0.0060375654942436355,0.015650143587496085,-0.058355575239535586,-0.003602391136743794
able,0.011477301092775085,-0.03835856708286078,0.02028253692347237,-0.00795505706066418,-0.002744642568744063
part,0.022083400189963548,-0.036831337877216846,0.016744026863544124,-0.008965063492640129,-0.010288747104380332
lot,-0.00799412555288639,-0.017024495451878632,0.02246376739079549,-0.005459571161254376,-0.008686299127833991
wrong,0.0395475417137955,-0.06732103229235183,0.02856707529913663,-0.026340101143511166,-0.047132710021675205
new,0.04193632272665298,-0.05716230138445727,0.02049197710297142,-0.010558176821975634,0.002752309681869427
asked,0.026243782087718628,-0.03807612849003879,0.02379159374365512,-0.0068911484483084075,-0.01768968177424238
alright,0.0037627609245995705,0.23133071631319926,-0.04509096133909317,-0.0413006173746731,-0.17783973831377176
thought,0.020714905856789183,-0.018327892993742448,0.027629259916811644,-0.015268491623355357,-0.028126637441845317
second,0.002781087578659047,-0.021230377892419185,0.005384478010118533,-0.027950958280684755,-0.04158322354859945
mean,-0.013621901988226952,0.0022129585518802495,0.006413671394964244,-0.005077733076112401,0.003908031000996435
redirect,-0.030752858885439105,-0.021749797638096823,0.012146776321046437,0.015133033470979142,-0.013412389751677406
giving,0.004650763353044183,-0.034993227984921375,0.01545790357979791,-0.006246421681715167,-0.023091129606279768
clear,-0.03336023263642133,-0.028007945025887885,0.014039434588379786,0.023963082721191357,-0.011258567828142262
intern,0.07200661392283489,-0.07672954247291018,0.018664018012391363,-0.012278560626907744,0.03456139825149158
looking,0.014755892407758204,-0.031929858981366244,0.008325252241140151,-0.01513611070887692,0.0027837903487696546
reading,-0.0051117812122626165,-0.028578668570654712,0.011321054584170537,-0.012925254138958783,0.019829347642893198
keep,-0.018593781023952993,-0.026282664415701526,0.015807357652261583,0.006786516192973729,-0.010629815639288338
beginning,-0.00659586600801891,-0.018812082543681146,-0.002849469025929255,-0.02888848812991449,-0.042762955434148264
better,0.02211590301066026,0.041098083972175785,0.05309595969485496,0.0090405923025812,-0.013616176675638643
focus,-0.026269557405191806,-0.02283192033125329,0.012860358792888923,0.006421739850206408,-0.00997536461308798
heart,0.0727152721391446,-0.014818256619373488,-0.02988575955609916,-0.028640524807071834,0.17303210737974598
name,-0.03801971010294978,-0.02558971578573959,0.019791015877498045,0.01745777491926756,-0.009814162585223364
norm,-0.04755468642019725,0.0006345388787351833,0.0009417464552150155,0.02446469425402395,-0.006684919042858769
sorry,-0.025380098743202212,0.0536215026198354,-0.02460626036650963,-0.05579725957291029,0.06428482899066065
example,-0.01208478107879996,-0.02986488817219853,0.01695758741821222,0.013708676471579813,-0.007454045463860698
sense,0.0055374016160412085,-0.008084386559945369,0.019893505238758675,-0.016506586360438988,0.015056817889557584
much,-0.01821248990125487,-0.004053764291124906,0.0030633032726145584,-0.009549620087281755,-0.01344910245964184
sort,-0.005350891788261921,-0.029042867779334788,0.019991752715377776,-0.0027033408574186277,-0.024742223106982663
started,-0.013689904624404338,-0.012532515059914576,0.007698822568751316,-0.010223823262454993,-0.026525790291133305
hey,-0.035738955351944095,0.03149487977064822,-0.03822801563098594,-0.015635822196416887,0.0024811456429511707
whistling,-0.08844466767661939,-0.04755358885904835,0.01876792516688703,0.08176209613989907,0.01536370003246511
brings,0.10161695132825252,-0.026507353038913817,-0.24019434130713574,0.1558529564194444,-0.09542313333501132
getting,-0.0014369491461947617,-0.024642340935305748,0.013493619453733834,-0.0035485067664738413,-0.013618827561070667
discussion,-0.014614397239574093,-0.014484609739423655,0.011042781969550386,-0.002221349133603884,-0.01759251389493844
behaviors,-0.038758806906790726,-0.03146728006842079,0.009335962988687087,0.02790141126026764,-0.02345585576468466
guess,-0.0025501030905407643,0.004467515096256018,0.010323141667725529,-0.017160369558498555,0.009945621805634667
textual,0.05603600319463864,-0.087102121487794,0.026480179123667787,-0.04741453380876641,-0.07053795587125787
direction,-0.004009793793456108,-0.03191655202544135,0.009563770019649186,0.005987231936880819,-0.0019235683456760005
today,-0.00899587694562297,-0.020040511286587594,0.010394468399092935,-0.004087208388610693,-0.024403825658680465
